Title,Author(s),Year,Publisher,Series
The Man of Bronze,"Lester Dent, Kenneth Robeson",1933,Street And Smith,Doc Savage
The Land of Terror,"Lester Dent, Kenneth Robeson",1933,Street And Smith,Doc Savage
Quest of the Spider,"Lester Dent, Kenneth Robeson",1933,Street And Smith,Doc Savage
The Polar Treasure,"Lester Dent, Kenneth Robeson",1933,Street And Smith,Doc Savage
Pirate of the Pacific,"Lester Dent, Kenneth Robeson",1933,Street And Smith,Doc Savage
The Red Skull,"Lester Dent, Kenneth Robeson",1933,Street And Smith,Doc Savage
The Lost Oasis,"Lester Dent, Kenneth Robeson",1933,Street And Smith,Doc Savage
The Sargasso Ogre,"Lester Dent, Kenneth Robeson",1933,Street And Smith,Doc Savage
The Czar of Fear,"Lester Dent, Kenneth Robeson",1933,Street And Smith,Doc Savage
The Phantom City,"Lester Dent, Kenneth Robeson",1933,Street And Smith,Doc Savage
Brand of the Werewolf,"Lester Dent, Kenneth Robeson",1934,Street And Smith,Doc Savage
The Man Who Shook the Earth,"Lester Dent, Kenneth Robeson",1934,Street And Smith,Doc Savage
Meteor Menace,"Lester Dent, Kenneth Robeson",1934,Street And Smith,Doc Savage
The Monsters,"Lester Dent, Kenneth Robeson",1934,Street And Smith,Doc Savage
The Mystery on the Snow,"Lester Dent, Kenneth Robeson",1934,Street And Smith,Doc Savage
The King Maker,"Lester Dent, Harold A. Davis, Kenneth Robeson",1934,Street And Smith,Doc Savage
The Thousand-Headed Man,"Lester Dent, Kenneth Robeson",1934,Street And Smith,Doc Savage
The Squeaking Goblin,"Lester Dent, Kenneth Robeson",1934,Street And Smith,Doc Savage
Fear Cay,"Lester Dent, Kenneth Robeson",1934,Street And Smith,Doc Savage
Death in Silver,"Lester Dent, Kenneth Robeson",1934,Street And Smith,Doc Savage
The Sea Magician,"Lester Dent, Kenneth Robeson",1934,Street And Smith,Doc Savage
The Annihilist,"Lester Dent, Kenneth Robeson",1934,Street And Smith,Doc Savage
The Mystic Mullah,"Richard Sale, Lester Dent, Kenneth Robeson",1935,Street And Smith,Doc Savage
Red Snow,"Lester Dent, Kenneth Robeson",1935,Street And Smith,Doc Savage
Land of Always-Night,"W. Ryerson Johnson, Lester Dent, Kenneth Robeson",1935,Street And Smith,Doc Savage
The Spook Legion,"Lester Dent, Kenneth Robeson",1935,Street And Smith,Doc Savage
The Secret in the Sky,"Lester Dent, Kenneth Robeson",1935,Street And Smith,Doc Savage
The Roar Devil,"Lester Dent, Kenneth Robeson",1935,Street And Smith,Doc Savage
Quest of Qui,"Lester Dent, Kenneth Robeson",1935,Street And Smith,Doc Savage
Spook Hole,"Lester Dent, Kenneth Robeson",1935,Street And Smith,Doc Savage
The Majii,"J. Allan Dunn, Lester Dent, Kenneth Robeson",1935,Street And Smith,Doc Savage
Dust of Death,"Lester Dent, Harold A. Davis, Kenneth Robeson",1935,Street And Smith,Doc Savage
Murder Melody,"Lawrence Donovan, Kenneth Robeson",1935,Street And Smith,Doc Savage
The Fantastic Island,"W. Ryerson Johnson, Lester Dent, Kenneth Robeson",1935,Street And Smith,Doc Savage
Murder Mirage,"Lawrence Donovan, Kenneth Robeson",1936,Street And Smith,Doc Savage
Mystery Under the Sea,"Lester Dent, Kenneth Robeson",1936,Street And Smith,Doc Savage
The Metal Master,"Lester Dent, Kenneth Robeson",1936,Street And Smith,Doc Savage
The Men Who Smiled No More,"Lawrence Donovan, Kenneth Robeson",1936,Street And Smith,Doc Savage
The Seven Agate Devils,"Martin E. Baker, Lester Dent, Kenneth Robeson",1936,Street And Smith,Doc Savage
The Haunted Ocean,"Lawrence Donovan, Kenneth Robeson",1936,Street And Smith,Doc Savage
The Black Spot,"Lawrence Donovan, Kenneth Robeson",1936,Street And Smith,Doc Savage
The Midas Man,"Lester Dent, Kenneth Robeson",1936,Street And Smith,Doc Savage
Cold Death,"Lawrence Donovan, Kenneth Robeson",1936,Street And Smith,Doc Savage
The South Pole Terror,"Lester Dent, Kenneth Robeson",1936,Street And Smith,Doc Savage
Resurrection Day,"Lester Dent, Kenneth Robeson",1936,Street And Smith,Doc Savage
The Vanisher,"Lester Dent, Kenneth Robeson",1936,Street And Smith,Doc Savage
Land of Long Juju / Land of Long Ju Ju,"Lawrence Donovan, Kenneth Robeson",1937,Street And Smith,Doc Savage
The Derrick Devil,"Lester Dent, Kenneth Robeson",1937,Street And Smith,Doc Savage
The Mental Wizard,"Lester Dent, Kenneth Robeson",1937,Street And Smith,Doc Savage
The Terror in the Navy,"Lester Dent, Kenneth Robeson",1937,Street And Smith,Doc Savage
Mad Eyes,"Lawrence Donovan, Kenneth Robeson",1937,Street And Smith,Doc Savage
The Land of Fear,"Lester Dent, Harold A. Davis, Kenneth Robeson",1937,Street And Smith,Doc Savage
He Could Stop The World,"Lawrence Donovan, Kenneth Robeson",1937,Street And Smith,Doc Savage
Ost / The Magic Island,"Lester Dent, Kenneth Robeson",1937,Street And Smith,Doc Savage
The Feathered Octopus,"Lester Dent, Kenneth Robeson",1937,Street And Smith,Doc Savage
Repel / The Deadly Dwarf,"Lester Dent, Kenneth Robeson",1937,Street And Smith,Doc Savage
The Sea Angel,"Lester Dent, Kenneth Robeson",1937,Street And Smith,Doc Savage
The Golden Peril,"Lester Dent, Harold A. Davis, Kenneth Robeson",1937,Street And Smith,Doc Savage
The Living-fire Menace / The Living Fire Menace,"Lester Dent, Harold A. Davis, Kenneth Robeson",1938,Street And Smith,Doc Savage
The Mountain Monster,"Lester Dent, Harold A. Davis, Kenneth Robeson",1938,Street And Smith,Doc Savage
Devil on the Moon,"Lester Dent, Kenneth Robeson",1938,Street And Smith,Doc Savage
The Pirate's Ghost,"Lester Dent, Kenneth Robeson",1938,Street And Smith,Doc Savage
The Motion Menace,"W. Ryerson Johnson, Lester Dent, Kenneth Robeson",1938,Street And Smith,Doc Savage
The Submarine Mystery,"Lester Dent, Kenneth Robeson",1938,Street And Smith,Doc Savage
The Giggling Ghosts,"Lester Dent, Kenneth Robeson",1938,Street And Smith,Doc Savage
The Munitions Master,"Harold A. Davis, Kenneth Robeson",1938,Street And Smith,Doc Savage
The Red Terrors,"Harold A. Davis, Kenneth Robeson",1938,Street And Smith,Doc Savage
Fortress of Solitude,"Lester Dent, Kenneth Robeson",1938,Street And Smith,Doc Savage
The Green Death,"Harold A. Davis, Kenneth Robeson",1938,Street And Smith,Doc Savage
The Devil Genghis,"Lester Dent, Kenneth Robeson",1938,Street And Smith,Doc Savage
Mad Mesa,"Lester Dent, Kenneth Robeson",1939,Street And Smith,Doc Savage
The Yellow Cloud,"Lester Dent, Evelyn Coulson, Kenneth Robeson",1939,Street And Smith,Doc Savage
The Freckled Shark,"Lester Dent, Kenneth Robeson",1939,Street And Smith,Doc Savage
World's Fair Goblin,"William G. Bogart, Lester Dent, Kenneth Robeson",1939,Street And Smith,Doc Savage
The Gold Ogre,"Lester Dent, Kenneth Robeson",1939,Street And Smith,Doc Savage
The Flaming Falcons,"Lester Dent, Kenneth Robeson",1939,Street And Smith,Doc Savage
Merchants of Disaster,"Harold A. Davis, Kenneth Robeson",1939,Street And Smith,Doc Savage
The Crimson Serpent,"Harold A. Davis, Kenneth Robeson",1939,Street And Smith,Doc Savage
Poison Island,"Lester Dent, Kenneth Robeson",1939,Street And Smith,Doc Savage
The Stone Man,"Lester Dent, Kenneth Robeson",1939,Street And Smith,Doc Savage
Hex,"William G. Bogart, Lester Dent, Kenneth Robeson",1939,Street And Smith,Doc Savage
The Dagger in the Sky,"Lester Dent, Kenneth Robeson",1939,Street And Smith,Doc Savage
The Other World,"Lester Dent, Kenneth Robeson",1940,Street And Smith,Doc Savage
The Angry Ghost,"William G. Bogart, Lester Dent, Kenneth Robeson",1940,Street And Smith,Doc Savage
The Spotted Men,"William G. Bogart, Lester Dent, Kenneth Robeson",1940,Street And Smith,Doc Savage
The Evil Gnome,"Lester Dent, Kenneth Robeson",1940,Street And Smith,Doc Savage
The Boss of Terror,"Lester Dent, Kenneth Robeson",1940,Street And Smith,Doc Savage
The Awful Egg,"Lester Dent, Kenneth Robeson",1940,Street And Smith,Doc Savage
The Flying Goblin,"William G. Bogart, Kenneth Robeson",1940,Street And Smith,Doc Savage
Tunnel Terror,"William G. Bogart, Kenneth Robeson",1940,Street And Smith,Doc Savage
The Purple Dragon,"Lester Dent, Harold A. Davis, Kenneth Robeson",1940,Street And Smith,Doc Savage
Devils of the Deep,"Harold A. Davis, Kenneth Robeson",1940,Street And Smith,Doc Savage
The Awful Dynasty,"William G. Bogart, Kenneth Robeson",1940,Street And Smith,Doc Savage
The Men Vanished,"Lester Dent, Kenneth Robeson",1940,Street And Smith,Doc Savage
The Devil's Playground,"Alan Hathway, Kenneth Robeson",1941,Street And Smith,Doc Savage
Bequest of Evil,"William G. Bogart, Kenneth Robeson",1941,Street And Smith,Doc Savage
The All-White Elf,"Lester Dent, Kenneth Robeson",1941,Street And Smith,Doc Savage
The Golden Man,"Lester Dent, Kenneth Robeson",1941,Street And Smith,Doc Savage
The Pink Lady,"Lester Dent, Kenneth Robeson",1941,Street And Smith,Doc Savage
The Headless Men,"Alan Hathway, Kenneth Robeson",1941,Street And Smith,Doc Savage
The Green Eagle,"Lester Dent, Kenneth Robeson",1941,Street And Smith,Doc Savage
Mystery Island,"Lester Dent, Kenneth Robeson",1941,Street And Smith,Doc Savage
The Mindless Monsters,"Alan Hathway, Kenneth Robeson",1941,Street And Smith,Doc Savage
Birds of Death,"Lester Dent, Kenneth Robeson",1941,Street And Smith,Doc Savage
The Invisible Box Murders / The Invisible-Box Murders,"Lester Dent, Kenneth Robeson",1941,Street And Smith,Doc Savage
Peril in the North,"Lester Dent, Kenneth Robeson",1941,Street And Smith,Doc Savage
The Rustling Death,"Alan Hathway, Kenneth Robeson",1942,Street And Smith,Doc Savage
Men of Fear,"Lester Dent, Evelyn Coulson, Kenneth Robeson",1942,Street And Smith,Doc Savage
The Too-Wise Owl,"Lester Dent, Kenneth Robeson",1942,Street And Smith,Doc Savage
The Magic Forest,"William G. Bogart, Lester Dent, Kenneth Robeson",1942,Street And Smith,Doc Savage
Pirate Isle,"Lester Dent, Kenneth Robeson",1942,Street And Smith,Doc Savage
The Speaking Stone,"Lester Dent, Kenneth Robeson",1942,Street And Smith,Doc Savage
The Man Who Fell Up,"Lester Dent, Kenneth Robeson",1942,Street And Smith,Doc Savage
The Three Wild Men,"Lester Dent, Kenneth Robeson",1942,Street And Smith,Doc Savage
The Fiery Menace,"Lester Dent, Kenneth Robeson",1942,Street And Smith,Doc Savage
The Laugh of Death,"Lester Dent, Kenneth Robeson",1942,Street And Smith,Doc Savage
They Died Twice,"Lester Dent, Kenneth Robeson",1942,Street And Smith,Doc Savage
The Devil's Black Rock,"Lester Dent, Kenneth Robeson",1942,Street And Smith,Doc Savage
The Time Terror,"Lester Dent, Kenneth Robeson",1943,Street And Smith,Doc Savage
Waves of Death,"Lester Dent, Kenneth Robeson",1943,Street And Smith,Doc Savage
"The Black, Black Witch","Lester Dent, Kenneth Robeson",1943,Street And Smith,Doc Savage
The King of Terror,"Lester Dent, Kenneth Robeson",1943,Street And Smith,Doc Savage
The Talking Devil,"Lester Dent, Kenneth Robeson",1943,Street And Smith,Doc Savage
The Running Skeletons,"Lester Dent, Kenneth Robeson",1943,Street And Smith,Doc Savage
Mystery on Happy Bones,"Lester Dent, Kenneth Robeson",1943,Street And Smith,Doc Savage
The Mental Monster,"Lester Dent, Kenneth Robeson",1943,Street And Smith,Doc Savage
Hell Below,"Lester Dent, Kenneth Robeson",1943,Street And Smith,Doc Savage
The Goblins,"Lester Dent, Kenneth Robeson",1943,Street And Smith,Doc Savage
The Secret of the Su,"Lester Dent, Kenneth Robeson",1943,Street And Smith,Doc Savage
The Spook of Grandpa Eben,"Lester Dent, Kenneth Robeson",1943,Street And Smith,Doc Savage
According to Plan of a One-Eyed Mystic / One-Eyed Mystic,"Lester Dent, Kenneth Robeson",1944,Street And Smith,Doc Savage
Death Had Yellow Eyes,"Lester Dent, Kenneth Robeson",1944,Street And Smith,Doc Savage
The Derelict of Skull Shoal,"Lester Dent, Kenneth Robeson",1944,Street And Smith,Doc Savage
The Whisker of Hercules,"Lester Dent, Kenneth Robeson",1944,Street And Smith,Doc Savage
The Three Devils,"Lester Dent, Kenneth Robeson",1944,Street And Smith,Doc Savage
The Pharoah's Ghost / The Pharaoh's Ghost,"Lester Dent, Kenneth Robeson",1944,Street And Smith,Doc Savage
The Man Who Was Scared,"Lester Dent, Kenneth Robeson",1944,Street And Smith,Doc Savage
The Shape of Terror,"Lester Dent, Kenneth Robeson",1944,Street And Smith,Doc Savage
Weird Valley,"Lester Dent, Kenneth Robeson",1944,Street And Smith,Doc Savage
Jiu San,"Lester Dent, Kenneth Robeson",1944,Street And Smith,Doc Savage
Satan Black,"Lester Dent, Kenneth Robeson",1944,Street And Smith,Doc Savage
The Lost Giant,"Lester Dent, Kenneth Robeson",1944,Street And Smith,Doc Savage
Violent Night / The Hate Genius,"Lester Dent, Kenneth Robeson",1945,Street And Smith,Doc Savage
Strange Fish,"Lester Dent, Kenneth Robeson",1945,Street And Smith,Doc Savage
The Ten Ton Snakes,"Lester Dent, Kenneth Robeson",1945,Street And Smith,Doc Savage
Cargo Unknown,"Lester Dent, Kenneth Robeson",1945,Street And Smith,Doc Savage
Rock Sinister,"Lester Dent, Kenneth Robeson",1945,Street And Smith,Doc Savage
